date,time,opponent,team,location,weather,temp,opposingPitcherId,position,ab,r,h,doubles,triples,hr,rbi,sb,bb,k,lob,avg,obp,slg,ops,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
2024/08/04,1:11 PM.,PHI,SEA,home,Sunny.,71,554430,1B,3,0,0,0,0,0,0,0,0,1,0,.179,.233,.286,.519,554430,zackwheeler,Wheeler,Right,Zack Wheeler,PHI,2.57,2.8,200.0,104.0,106.0,108.0,0.747,10.08,2.34,6.26,0.9,1.09,0.245,0.35,0.209,0.29,0.42,101.0,106.0,109.0,111.0,103.0,107.0,128.0,106.0,115.0,,,,94.0,110.0,110.0,0.192,0.416,0.074,0.125,,0.88,1.47,2.68,1.04,,95.3,86.1,94.6,84.9,,0.189,0.259,0.142,0.205,0.397,0.387,0.209,0.395,0.296,0.137,0.196,0.402,,,,,,,110.0,101.0,107.0,0.1,,-0.98,,,81.8,,,,92.0,97.0,94.0,0.093,-0.23,91.1,0.226,0.371,0.183,0.152,0.273,0.335
2024/08/03,6:42 PM.,PHI,SEA,home,Partly Cloudy.,72,689147,PH,1,0,0,0,0,0,0,0,0,1,2,.200,.259,.320,.579,689147,orionkerkering,Kerkering,Right,Orion Kerkering,PHI,2.29,3.19,63.0,102.0,128.0,111.0,0.747,10.57,2.43,7.29,0.29,2.13,0.241,0.418,0.133,0.253,0.45,114.0,102.0,104.0,99.0,97.0,100.0,143.0,102.0,118.0,,,,,,,0.152,0.292,,0.557,,0.66,,1.52,0.75,,97.6,,96.4,86.2,,0.213,0.255,0.16,,,,0.224,0.328,0.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226,0.306,0.311
2024/08/02,6:41 PM.,PHI,SEA,home,Clear.,77,663969,1B,0,0,0,0,0,0,0,0,0,0,0,.208,.269,.333,.602,663969,tylerphillips,Phillips,Right,Tyler Phillips,PHI,6.87,5.97,36.2,100.0,94.0,99.0,0.799,6.87,1.72,11.05,2.21,1.13,0.122,0.496,0.171,0.358,0.419,68.0,92.0,90.0,80.0,101.0,91.0,121.0,95.0,102.0,,,,,,,0.311,0.187,,0.292,,3.13,,-1.15,-2.49,,92.7,,93.7,82.5,,0.35,0.7,0.118,0.174,0.304,0.222,0.219,0.313,0.214,,,,,,,82.0,110.0,104.0,107.0,112.0,116.0,0.144,0.066,-0.37,-9.69,85.7,81.0,0.6,1.1,0.182,,,,,,,,,,0.311,0.511,0.329
2024/07/31,4:11 PM.,BOS,SEA,away,Cloudy.,80,678394,RF,2,0,0,0,0,0,0,0,1,1,0,.208,.269,.333,.602,678394,brayanbello,Bello,Right,Brayan Bello,BOS,4.49,4.56,162.1,99.0,101.0,102.0,0.753,8.48,3.55,8.7,1.05,1.86,0.219,0.384,0.152,0.312,0.405,74.0,108.0,101.0,103.0,100.0,101.0,114.0,98.0,110.0,,,,,,,0.403,0.048,,0.28,,0.25,,-0.24,-0.58,,95.6,,95.7,86.8,,0.309,0.44,0.111,,,,0.12,0.16,0.218,,,,0.268,0.401,0.343,88.0,99.0,97.0,,,,,0.269,,0.15,87.6,,0.177,0.354,0.369,,,,,,,,,,,,
2024/07/29,7:11 PM.,BOS,SEA,away,Partly Cloudy.,72,601713,LF,4,0,1,0,0,0,1,0,0,2,1,.227,.261,.364,.625,601713,nickpivetta,Pivetta,Right,Nick Pivetta,BOS,4.14,3.51,145.2,104.0,133.0,108.0,0.775,10.63,2.22,7.91,1.73,0.69,0.238,0.42,0.142,0.378,0.449,122.0,105.0,108.0,,,,155.0,103.0,111.0,,,,,,,,0.486,,0.291,,0.73,,,-0.1,,93.9,,,82.6,,,,,0.167,0.4,0.206,0.239,0.399,0.218,,,,0.143,0.393,0.326,,,,118.0,104.0,104.0,0.163,,0.61,,,80.0,,,,104.0,96.0,82.0,0.059,-4.63,88.3,0.394,0.879,0.211,0.224,0.436,0.35
2024/07/28,1:10 PM.,CWS,SEA,away,Cloudy.,81,676979,1B,1,0,0,0,0,0,0,0,0,1,0,.222,.263,.389,.652,676979,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.58,2.85,146.0,103.0,102.0,103.0,0.694,12.88,2.03,7.58,1.11,1.25,0.259,0.394,0.175,0.33,0.458,104.0,103.0,103.0,123.0,98.0,97.0,138.0,102.0,107.0,,,,,,,0.021,0.537,,0.098,,1.66,,4.04,-2.29,,97.2,,97.9,84.3,,0.154,0.154,0.321,,,,0.198,0.295,0.314,,,,,,,66.0,101.0,102.0,,,,,0.059,,-0.36,91.0,,0.184,0.289,0.339,94.0,105.0,103.0,0.284,-0.14,91.6,0.268,0.458,0.334,0.228,0.561,0.422
2024/07/27,6:15 PM.,CWS,SEA,away,Partly Cloudy.,84,607200,DH,5,0,1,0,1,0,0,0,0,1,5,.235,.278,.412,.690,607200,erickfedde,Fedde,Right,Erick Fedde,- - -,3.3,3.91,177.1,104.0,90.0,99.0,0.807,7.82,2.64,7.82,1.02,1.07,0.264,0.367,0.181,0.309,0.399,17.0,112.0,76.0,76.0,105.0,93.0,126.0,101.0,106.0,,,,,,,0.308,0.003,,0.202,,-6.18,,0.59,1.28,,92.9,,93.0,83.5,,0.25,0.358,0.202,,,,0.5,0.5,0.0,,,,,,,86.0,108.0,106.0,,,,,0.164,,-0.54,87.7,,0.228,0.351,0.165,78.0,104.0,97.0,0.323,0.43,89.9,0.262,0.47,0.232,0.165,0.309,0.251
2024/07/26,7:10 PM.,CWS,SEA,away,Clear.,76,689672,1B,5,1,1,0,0,0,2,0,0,1,1,.250,.308,.333,.641,689672,drewthorpe,Thorpe,Right,Drew Thorpe,CHW,5.48,4.71,44.1,99.0,81.0,93.0,0.772,5.08,4.26,7.11,1.62,0.76,0.232,0.408,0.225,0.239,0.38,63.0,95.0,82.0,,,,99.0,99.0,102.0,,,,,,,,0.322,,0.184,,-1.43,,,-1.97,,91.0,,,81.2,,,,,,,,0.245,0.566,0.077,,,,0.333,0.5,0.28,89.0,106.0,103.0,,,,,0.355,,1.65,81.6,,0.164,0.311,0.379,83.0,94.0,88.0,0.139,-0.44,86.3,0.182,0.409,0.071,0.0,0.0,0.25
2024/07/24,12:40 PM.,LAA,SEA,home,Sunny.,65,656288,DH,4,0,1,0,0,0,0,0,0,1,0,.286,.375,.429,.804,656288,griffincanning,Canning,Right,Griffin Canning,LAA,5.19,4.74,171.2,98.0,88.0,97.0,0.772,6.82,3.46,9.12,1.63,1.04,0.225,0.434,0.128,0.367,0.401,73.0,94.0,86.0,76.0,89.0,78.0,107.0,100.0,110.0,,,,,,,0.01,0.376,,0.24,,-0.85,,-6.83,-0.91,,93.4,,93.0,87.7,,0.429,0.857,0.0,0.271,0.438,0.241,0.251,0.529,0.147,,,,0.284,0.444,0.331,96.0,102.0,102.0,75.0,96.0,96.0,0.107,0.267,-0.86,0.48,88.6,80.6,0.259,0.387,0.288,,,,,,,,,,,,
2024/07/23,6:40 PM.,LAA,SEA,home,Clear.,73,667755,DH,3,1,1,1,0,0,0,0,1,0,1,.333,.500,.667,1.167,667755,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.42,4.14,113.0,95.0,100.0,99.0,0.779,7.73,3.58,7.25,0.64,2.69,0.212,0.399,0.171,0.294,0.404,96.0,92.0,86.0,95.0,95.0,96.0,117.0,92.0,99.0,98.0,96.0,108.0,120.0,100.0,112.0,0.464,0.146,0.081,0.055,0.254,-2.05,0.8,2.22,0.02,-0.42,98.8,92.7,97.7,91.5,86.4,0.214,0.26,0.167,0.226,0.376,0.402,0.356,0.622,0.103,0.15,0.3,0.329,0.143,0.214,0.463,,,,,,,,,,,,,,,,,,,,,,,,,,,
